Michael Olowokandi_1_Minnesota Timberwolves_0_2004-05,61.5,0.0,0.0,0.0,0.0,0.0,4.8,4.2,8.8,12.5
Shawn Bradley_1_Dallas Mavericks_0_2004-05,5.9,0.0,6.5,0.0,0.0,0.0,21.6,16.2,19.5,17.3
Caron Butler_1_Los Angeles Lakers_0_2004-05,5.9,4.5,14.9,20.1,1.1,1.1,29.5,0.0,9.1,7.8
Dale Davis_1_Indiana Pacers_0_2004-05,10.8,0.0,0.0,0.0,0.0,0.0,7.7,0.0,32.3,28.5
Jackson Vroman_1_New Orleans Pelicans_0_2004-05,9.2,0.0,15.1,17.0,0.0,0.0,17.4,0.0,14.7,13.3
Marc Jackson_1_Philadelphia 76ers_0_2004-05,28.2,0.0,7.7,4.4,0.0,0.0,9.1,14.7,15.8,12.2
Al Jefferson_1_Boston Celtics_0_2004-05,36.5,0.0,2.4,6.3,0.0,0.0,5.8,5.3,19.6,17.1
Bobby Jackson_1_Sacramento Kings_0_2004-05,0.0,26.6,8.1,18.5,8.5,0.0,20.7,0.0,4.1,0.0
Ha Seung-Jin_1_Portland Trail Blazers_0_2004-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.4,0.0
Kevin Martin_1_Sacramento Kings_0_2004-05,0.0,12.1,12.8,14.1,0.0,0.0,20.1,0.0,7.4,10.1
Maurice Taylor_1_Houston Rockets_0_2004-05,24.4,0.0,14.6,5.3,0.0,0.0,22.0,0.0,13.4,6.5
Tierre Brown_1_Los Angeles Lakers_0_2004-05,0.0,29.2,19.9,12.7,0.0,0.0,24.3,0.0,2.8,0.0
Primoz Brezec_1_Charlotte Hornets_0_2004-05,19.7,0.0,5.5,4.8,0.0,0.0,20.5,9.0,16.8,17.4
Dwight Howard_1_Orlando Magic_0_2004-05,30.7,0.0,5.6,12.1,0.0,0.0,4.8,6.5,15.0,19.9
Luol Deng_1_Chicago Bulls_0_2004-05,2.8,6.3,7.8,22.5,11.4,2.2,27.2,0.0,7.3,5.8
Ervin Johnson_1_Minnesota Timberwolves_0_2004-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,24.6
Malik Rose_1_New York Knicks_0_2004-05,12.8,0.0,10.7,6.4,0.0,0.0,27.8,12.8,12.8,8.1
Ricky Davis_1_Boston Celtics_0_2004-05,5.7,17.2,19.2,16.3,11.8,2.0,16.8,0.0,2.5,2.1
Josh Smith_1_Atlanta Hawks_0_2004-05,4.5,1.4,15.6,19.9,2.7,0.0,22.3,0.0,14.5,11.4
Quentin Richardson_1_Phoenix Suns_0_2004-05,7.8,5.6,8.2,21.3,2.0,1.2,38.6,0.0,4.2,3.2
Chris Webber_1_Philadelphia 76ers_0_2004-05,21.4,0.0,15.3,7.3,0.0,0.0,25.5,10.2,7.5,6.8
Eddie Griffin_1_Minnesota Timberwolves_0_2004-05,13.4,0.0,6.8,7.4,0.0,0.0,37.2,5.3,9.7,15.0
Dan Gadzuric_1_Milwaukee Bucks_0_2004-05,10.5,0.0,0.0,8.8,0.0,0.0,3.7,7.8,29.6,31.6
Obinna Ekezie_1_Atlanta Hawks_0_2004-05,31.7,0.0,7.8,4.8,0.0,0.0,11.7,0.0,16.5,13.5
