PLAYER_NAME,STL,BLK,DREB,RIM_FGM,RIM_FGA,RIM_FG_PCT
Brandon Jennings,0.6,0.1,1.7,0.5,0.8,0.67
Ian Mahinmi,0.9,1.1,5.2,3.3,6.6,0.5
Mason Plumlee,0.8,1.0,5.2,4.2,7.9,0.53
Jose Calderon,0.9,0.1,2.9,0.8,1.5,0.57
Patrick Patterson,0.7,0.4,3.3,1.7,3.4,0.49
Zaza Pachulia,0.8,0.3,6.2,3.8,7.3,0.52
PJ Hairston,0.5,0.2,2.3,0.7,1.5,0.47
David Lee,0.4,0.5,3.7,2.1,3.8,0.54
Luke Babbitt,0.2,0.1,2.6,1.4,2.4,0.6
Mike Dunleavy,0.5,0.3,2.4,1.2,2.0,0.61
Andrea Bargnani,0.1,0.2,1.5,1.3,2.0,0.66
Jared Dudley,0.9,0.2,2.9,2.4,4.4,0.54
Greivis Vasquez,0.4,0.0,1.8,0.5,1.0,0.52
Cody Zeller,0.8,0.9,4.3,2.8,5.9,0.48
Justise Winslow,0.9,0.3,4.1,1.7,3.2,0.55
Randy Foye,0.5,0.4,1.6,0.6,1.2,0.52
Paul Pierce,0.5,0.3,2.6,1.2,2.4,0.49
Devin Harris,0.9,0.2,1.9,0.8,1.2,0.69
Rudy Gobert,0.7,2.2,7.5,3.4,8.2,0.41
David West,0.6,0.7,3.0,1.8,3.8,0.48
TJ McConnell,1.2,0.1,2.6,0.6,1.2,0.52
Donald Sloan,0.5,0.1,2.6,0.8,1.3,0.59
Vince Carter,0.6,0.3,1.9,0.8,1.4,0.58
Kosta Koufos,0.5,0.9,3.2,2.5,5.2,0.49
D.J. Augustin,0.6,0.1,1.4,0.5,0.7,0.74
Andre Iguodala,1.1,0.3,3.2,1.1,1.8,0.59
Iman Shumpert,1.0,0.4,3.2,0.5,1.1,0.45
Andrew Nicholson,0.2,0.4,3.0,1.6,2.9,0.55
Kris Humphries,0.3,0.4,3.0,2.0,3.7,0.54
Donatas Motiejunas,0.5,0.1,1.9,1.1,2.3,0.47
Leandro Barbosa,0.6,0.1,1.3,0.3,0.6,0.56
Trey Lyles,0.3,0.2,3.0,1.7,3.0,0.55
Amir Johnson,0.7,1.0,4.1,2.8,5.9,0.47
Alexis Ajinca,0.3,0.6,3.3,1.6,3.2,0.49
Spencer Hawes,0.4,0.5,3.4,2.2,4.3,0.51
Ty Lawson,0.8,0.1,1.4,0.7,1.0,0.67
Mario Hezonja,0.5,0.2,1.9,1.0,1.5,0.66
Tony Snell,0.3,0.3,2.8,1.0,1.9,0.54
Charlie Villanueva,0.3,0.2,2.1,0.8,1.5,0.55
Steven Adams,0.5,1.1,3.9,3.1,6.3,0.49
Maurice Harkless,0.6,0.4,2.3,1.0,2.2,0.47
Josh Richardson,0.7,0.5,1.7,0.9,1.9,0.47
Willie Cauley-Stein,0.7,1.0,3.3,1.8,3.7,0.48
Dante Cunningham,0.5,0.4,2.2,1.3,2.2,0.6
Tim Hardaway Jr.,0.4,0.1,1.5,0.4,0.8,0.5
Jason Terry,0.7,0.1,0.9,0.4,0.8,0.58
Markel Brown,0.6,0.2,1.6,0.8,1.3,0.59
Raul Neto,0.8,0.0,1.3,0.6,1.2,0.51
Clint Capela,0.8,1.2,3.9,3.0,6.1,0.49
Jerian Grant,0.7,0.1,1.6,0.7,1.3,0.53
Seth Curry,0.5,0.1,1.1,0.4,0.9,0.46
John Henson,0.3,1.9,2.4,2.3,5.4,0.42
Tristan Thompson,0.5,0.6,5.7,3.3,6.3,0.53
Mike Scott,0.3,0.2,2.0,0.8,1.7,0.48
Metta World Peace,0.6,0.3,2.0,0.7,1.5,0.49
Boris Diaw,0.3,0.3,2.3,1.5,2.9,0.52
Roy Hibbert,0.4,1.4,3.3,3.2,6.3,0.51
Channing Frye,0.4,0.3,2.8,1.5,2.9,0.52
Thabo Sefolosha,1.1,0.5,3.8,1.1,1.9,0.56
Festus Ezeli,0.4,1.1,3.6,2.8,6.3,0.44
Trevor Booker,0.7,0.5,3.6,1.3,2.4,0.55
Anthony Morrow,0.3,0.1,0.8,0.5,0.9,0.59
Tyler Zeller,0.2,0.4,1.9,1.9,3.7,0.53
Shaun Livingston,0.7,0.3,1.6,1.0,1.5,0.63
Cameron Payne,0.6,0.1,1.3,0.5,0.9,0.59
Ronnie Price,1.2,0.2,1.2,0.2,0.5,0.47
Brandon Bass,0.5,0.8,2.7,2.0,3.7,0.55
Norman Powell,0.6,0.2,2.0,0.6,1.0,0.54
Larry Nance Jr.,0.9,0.4,3.3,1.5,2.6,0.57
Rondae Hollis-Jefferson,1.3,0.6,4.0,1.8,3.3,0.54
Tyson Chandler,0.5,0.7,6.1,2.9,5.5,0.54
Timofey Mozgov,0.3,0.8,3.0,2.4,5.0,0.49
Aron Baynes,0.3,0.6,3.0,2.6,5.0,0.52
Lavoy Allen,0.3,0.5,3.3,1.7,3.5,0.5
Anthony Tolliver,0.4,0.2,2.6,1.2,2.3,0.52
Joakim Noah,0.6,1.0,5.8,2.3,4.3,0.52
Chris McCullough,1.2,0.5,1.8,1.6,2.8,0.59
Sasha Vujacic,0.6,0.1,2.0,0.7,1.2,0.58
Beno Udrih,0.3,0.0,1.5,0.5,1.0,0.57
Jonathon Simmons,0.4,0.1,1.5,0.6,0.8,0.72
Richaun Holmes,0.4,0.8,1.4,1.6,3.5,0.48
Troy Daniels,0.3,0.1,1.2,0.4,0.8,0.54
Marcelo Huertas,0.5,0.1,1.4,0.5,0.8,0.56
JaKarr Sampson,0.3,0.5,2.0,1.0,2.1,0.48
Justin Holiday,0.6,0.4,1.5,0.8,1.7,0.47
Tyus Jones,0.8,0.1,1.1,0.5,0.8,0.59
Anthony Brown,0.5,0.2,2.1,1.0,1.5,0.66
Jarell Martin,0.3,0.3,1.7,0.9,2.1,0.44
Tiago Splitter,0.6,0.3,2.1,2.0,4.3,0.47
Dwight Powell,0.5,0.3,2.7,1.5,3.1,0.49
Amar'e Stoudemire,0.3,0.8,3.0,2.0,4.0,0.51
Kevin Seraphin,0.2,0.8,2.0,1.3,3.0,0.42
James Johnson,0.5,0.6,1.8,0.7,1.4,0.47
Richard Jefferson,0.4,0.2,1.5,0.7,1.1,0.59
Kyle O'Quinn,0.3,0.8,2.7,1.8,3.8,0.47
CJ Watson,0.6,0.2,1.7,0.8,1.2,0.68
