PLAYER_NAME,Transition,Isolation,PRBallHandler,PRRollman,Postup,Spotup,Handoff,Cut,OffScreen,OffRebound
Justise Winslow,24.1,2.46,7.05,0,3.44,30.16,4.26,11.97,0,7.54
Randy Foye,15.43,7.39,21.28,0,0,39.36,6.4,0,3.94,0
Paul Pierce,13.64,7.85,2.07,16.32,6.4,39.46,0,0,6.4,0
Devin Harris,21.13,3.62,22.33,0,0,28.77,4.83,5.84,3.42,0
Rudy Gobert,6.6,1.82,0,17.49,3.96,2.15,0,29.21,0,23.27
David West,7.13,3.47,0,19.38,21.02,17.92,0,14.81,2.01,6.03
TJ McConnell,13.14,6.89,45.99,0,0,12.5,7.37,2.56,3.04,2.08
Donald Sloan,17.57,6.07,32.85,0,0,20.5,5.44,8.16,0,0
Vince Carter,9.51,4.88,16.34,0,8.29,28.29,7.8,4.15,8.05,4.88
Kosta Koufos,7.81,0,0,21.0,13.2,0,0,32.71,0,17.1
D.J. Augustin,13.69,6.54,33.93,0,0,13.4,9.52,0,0,0
Andre Iguodala,23.81,7.87,7.66,0,2.9,26.71,2.28,8.07,5.38,3.31
Iman Shumpert,15.8,7.77,15.28,0,0,41.45,3.37,0,4.92,0
Andrew Nicholson,7.35,0,0,18.64,32.28,22.31,0,4.99,2.62,4.99
Kris Humphries,13.87,0,0,19.71,0,27.27,0,7.18,0,9.23
Donatas Motiejunas,9.49,0,0,18.25,21.9,21.17,0,13.14,0,6.2
Leandro Barbosa,27.33,5.78,14.44,0,0,19.33,5.33,3.56,15.56,0
Trey Lyles,9.65,4.08,0,15.77,2.23,43.23,0,10.76,2.04,5.75
Amir Johnson,10.76,3.13,0,15.63,10.94,9.38,0,19.27,0,17.36
Alexis Ajinca,4.28,0,0,27.46,9.57,15.11,0,17.13,4.53,10.83
Spencer Hawes,4.83,3.05,0,18.07,13.74,28.5,0,12.72,0,7.38
Ty Lawson,20.48,7.88,36.14,0,0,15.66,3.69,0,0,0
Mario Hezonja,15.93,4.26,20.37,0,0,25.56,7.41,3.15,13.89,2.59
Tony Snell,16.75,7.14,17.0,0,0,33.5,9.85,3.94,2.96,2.71
Charlie Villanueva,12.2,0,0,10.84,6.23,37.67,3.52,4.07,15.18,4.88
