Antonio Mirante,Bologna,2016-2017,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Ângelo Da Costa,Bologna,2016-2017,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Filip Helander,Bologna,2016-2017,"defensive_3,passing_2,control_1,attack_2",0.0(0.0),0.2(0.04651162790697675),0.2(0.05555555555555556),0.0(0.0),0.0(0.0)
Mattia Destro,Bologna,2016-2017,"defensive_1,passing_5,control_5,attack_5",0.7(0.1627906976744186),1.3(0.3023255813953489),0.5(0.1388888888888889),0.0(0.0),2.0(0.3921568627450981)
Federico Viviani,Bologna,2016-2017,"defensive_4,passing_3,control_4,attack_4",2.4(0.5581395348837209),0.0(0.0),0.0(0.0),0.0(0.0),1.0(0.19607843137254904)
Godfred Donsah,Bologna,2016-2017,"defensive_0,passing_5,control_4,attack_1",0.6(0.13953488372093023),0.5(0.11627906976744186),0.1(0.02777777777777778),0.0(0.0),1.0(0.19607843137254904)
Emil Krafth,Bologna,2016-2017,"defensive_2,passing_2,control_1,attack_2",0.2(0.04651162790697675),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.2(0.03921568627450981)
Federico Di Francesco,Bologna,2016-2017,"defensive_0,passing_0,control_0,attack_5",0.8(0.186046511627907),1.0(0.23255813953488372),0.1(0.02777777777777778),0.3(0.37499999999999994),1.6(0.3137254901960785)
Ádám Nagy,Bologna,2016-2017,"defensive_0,passing_5,control_4,attack_2",0.3(0.06976744186046512),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.2(0.03921568627450981)
Domenico Maietta,Bologna,2016-2017,"defensive_2,passing_2,control_1,attack_2",0.1(0.023255813953488375),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.1(0.019607843137254905)
Vasilis Torosidis,Bologna,2016-2017,"defensive_2,passing_2,control_1,attack_2",0.1(0.023255813953488375),0.3(0.06976744186046512),0.2(0.05555555555555556),0.0(0.0),0.4(0.07843137254901962)
Ladislav Krejci,Bologna,2016-2017,"defensive_0,passing_0,control_4,attack_1",0.2(0.04651162790697675),0.9(0.20930232558139536),0.0(0.0),0.0(0.0),1.0(0.19607843137254904)
Simone Verdi,Bologna,2016-2017,"defensive_0,passing_4,control_0,attack_4",1.5(0.3488372093023256),0.9(0.20930232558139536),0.0(0.0),0.0(0.0),1.7(0.33333333333333337)
Ibrahima Mbaye,Bologna,2016-2017,"defensive_2,passing_2,control_2,attack_3",0.0(0.0),0.3(0.06976744186046512),0.3(0.08333333333333333),0.0(0.0),0.0(0.0)
Daniele Gastaldello,Bologna,2016-2017,"defensive_2,passing_2,control_2,attack_2",0.1(0.023255813953488375),0.2(0.04651162790697675),0.2(0.05555555555555556),0.0(0.0),0.1(0.019607843137254905)
Saphir Taïder,Bologna,2016-2017,"defensive_0,passing_2,control_4,attack_1",1.2(0.27906976744186046),0.6(0.13953488372093023),0.0(0.0),0.0(0.0),1.6(0.3137254901960785)
Diego Laxalt,Bologna,2013-2014,"defensive_4,passing_5,control_4,attack_1",0.5(0.11627906976744186),0.8(0.186046511627907),0.2(0.05555555555555556),0.1(0.125),1.2(0.23529411764705882)
Rolando Bianchi,Bologna,2013-2014,"defensive_0,passing_5,control_5,attack_5",0.7(0.1627906976744186),1.4(0.3255813953488372),0.7(0.19444444444444442),0.2(0.25),1.6(0.3137254901960785)
Archimede Morleo,Bologna,2013-2014,"defensive_4,passing_5,control_3,attack_2",0.4(0.0930232558139535),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.3(0.058823529411764705)
Davide Moscardelli,Bologna,2013-2014,"defensive_0,passing_5,control_0,attack_5",1.3(0.3023255813953489),1.4(0.3255813953488372),0.8(0.22222222222222224),0.0(0.0),2.4(0.47058823529411764)
Panagiotis Kone,Bologna,2013-2014,"defensive_0,passing_4,control_4,attack_4",1.4(0.3255813953488372),1.0(0.23255813953488372),0.2(0.05555555555555556),0.1(0.125),1.8(0.35294117647058826)
Michele Pazienza,Bologna,2013-2014,"defensive_4,passing_3,control_2,attack_2",0.3(0.06976744186046512),0.2(0.04651162790697675),0.1(0.02777777777777778),0.0(0.0),0.3(0.058823529411764705)
Rene Krhin,Bologna,2013-2014,"defensive_4,passing_5,control_2,attack_3",0.3(0.06976744186046512),0.5(0.11627906976744186),0.4(0.11111111111111112),0.0(0.0),0.4(0.07843137254901962)
György Garics,Bologna,2013-2014,"defensive_2,passing_5,control_1,attack_2",0.3(0.06976744186046512),0.3(0.06976744186046512),0.0(0.0),0.0(0.0),0.4(0.07843137254901962)
Robert Acquafresca,Bologna,2013-2014,"defensive_0,passing_5,control_4,attack_0",1.7(0.3953488372093023),1.8(0.4186046511627907),0.7(0.19444444444444442),0.5(0.625),2.6(0.5098039215686275)
Nicolò Cherubin,Bologna,2013-2014,"defensive_2,passing_2,control_1,attack_2",0.0(0.0),0.2(0.04651162790697675),0.1(0.02777777777777778),0.0(0.0),0.0(0.0)
Andrea Mantovani,Bologna,2013-2014,"defensive_2,passing_2,control_2,attack_2",0.1(0.023255813953488375),0.3(0.06976744186046512),0.2(0.05555555555555556),0.0(0.0),0.1(0.019607843137254905)
Alessandro Diamanti,Bologna,2013-2014,"defensive_0,passing_4,control_0,attack_4",3.4(0.7906976744186046),1.0(0.23255813953488372),0.1(0.02777777777777778),0.1(0.125),2.7(0.5294117647058825)
Cesare Natali,Bologna,2013-2014,"defensive_3,passing_2,control_2,attack_3",0.1(0.023255813953488375),0.4(0.0930232558139535),0.4(0.11111111111111112),0.0(0.0),0.1(0.019607843137254905)
Gianluca Curci,Bologna,2013-2014,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Diego Pérez,Bologna,2013-2014,"defensive_4,passing_2,control_3,attack_2",0.7(0.1627906976744186),0.0(0.0),0.0(0.0),0.0(0.0),0.5(0.09803921568627452)
Jonathan Cristaldo,Bologna,2013-2014,"defensive_0,passing_5,control_0,attack_5",0.7(0.1627906976744186),1.6(0.372093023255814),0.7(0.19444444444444442),0.1(0.125),1.9(0.37254901960784315)
Mikael Antonsson,Bologna,2013-2014,"defensive_2,passing_2,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Lazaros Christodoulopoulos,Bologna,2013-2014,"defensive_0,passing_4,control_0,attack_4",2.3(0.5348837209302325),0.6(0.13953488372093023),0.1(0.02777777777777778),0.1(0.125),2.0(0.3921568627450981)
Frederik Sörensen,Bologna,2013-2014,"defensive_3,passing_2,control_2,attack_2",0.1(0.023255813953488375),0.3(0.06976744186046512),0.2(0.05555555555555556),0.0(0.0),0.1(0.019607843137254905)
Luca Rossettini,Bologna,2015-2016,"defensive_2,passing_2,control_2,attack_3",0.0(0.0),0.3(0.06976744186046512),0.4(0.11111111111111112),0.0(0.0),0.1(0.019607843137254905)
Mattia Destro,Bologna,2015-2016,"defensive_0,passing_5,control_5,attack_5",0.7(0.1627906976744186),1.9(0.4418604651162791),0.4(0.11111111111111112),0.1(0.125),1.8(0.35294117647058826)
Marios Oikonomou,Bologna,2015-2016,"defensive_3,passing_2,control_1,attack_2",0.0(0.0),0.2(0.04651162790697675),0.2(0.05555555555555556),0.0(0.0),0.0(0.0)
Adam Masina,Bologna,2015-2016,"defensive_4,passing_5,control_2,attack_2",0.2(0.04651162790697675),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.3(0.058823529411764705)
Sergio Floccari,Bologna,2015-2016,"defensive_0,passing_5,control_0,attack_5",0.8(0.186046511627907),1.3(0.3023255813953489),0.4(0.11111111111111112),0.0(0.0),1.7(0.33333333333333337)
Amadou Diawara,Bologna,2015-2016,"defensive_4,passing_3,control_1,attack_2",0.6(0.13953488372093023),0.0(0.0),0.0(0.0),0.0(0.0),0.6(0.11764705882352941)
Matteo Brighi,Bologna,2015-2016,"defensive_4,passing_5,control_4,attack_1",0.8(0.186046511627907),0.6(0.13953488372093023),0.1(0.02777777777777778),0.1(0.125),1.0(0.19607843137254904)
Luca Rizzo,Bologna,2015-2016,"defensive_4,passing_5,control_0,attack_1",0.4(0.0930232558139535),0.6(0.13953488372093023),0.1(0.02777777777777778),0.0(0.0),0.9(0.17647058823529413)
Alex Ferrari,Bologna,2015-2016,"defensive_4,passing_2,control_4,attack_2",0.3(0.06976744186046512),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.4(0.07843137254901962)
Godfred Donsah,Bologna,2015-2016,"defensive_4,passing_5,control_4,attack_1",0.4(0.0930232558139535),0.7(0.1627906976744186),0.1(0.02777777777777778),0.0(0.0),1.0(0.19607843137254904)
Anthony Mounier,Bologna,2015-2016,"defensive_0,passing_0,control_0,attack_1",0.4(0.0930232558139535),0.5(0.11627906976744186),0.0(0.0),0.0(0.0),0.8(0.15686274509803924)
Domenico Maietta,Bologna,2015-2016,"defensive_2,passing_2,control_1,attack_2",0.0(0.0),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.0(0.0)
Franco Brienza,Bologna,2015-2016,"defensive_0,passing_4,control_4,attack_4",1.6(0.372093023255814),0.6(0.13953488372093023),0.0(0.0),0.0(0.0),1.8(0.35294117647058826)
Emanuele Giaccherini,Bologna,2015-2016,"defensive_0,passing_4,control_0,attack_1",1.0(0.23255813953488372),0.9(0.20930232558139536),0.1(0.02777777777777778),0.0(0.0),1.3(0.25490196078431376)
Ibrahima Mbaye,Bologna,2015-2016,"defensive_4,passing_2,control_3,attack_2",0.2(0.04651162790697675),0.2(0.04651162790697675),0.2(0.05555555555555556),0.0(0.0),0.1(0.019607843137254905)
Daniele Gastaldello,Bologna,2015-2016,"defensive_3,passing_2,control_2,attack_2",0.0(0.0),0.3(0.06976744186046512),0.2(0.05555555555555556),0.0(0.0),0.0(0.0)
Antonio Mirante,Bologna,2015-2016,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Saphir Taïder,Bologna,2015-2016,"defensive_4,passing_5,control_3,attack_1",1.1(0.2558139534883721),0.3(0.06976744186046512),0.0(0.0),0.0(0.0),1.1(0.21568627450980396)
Nico Pulzetti,Bologna,2011-2012,"defensive_5,passing_5,control_4,attack_1",0.7(0.1627906976744186),0.5(0.11627906976744186),0.1(0.02777777777777778),0.1(0.125),0.9(0.17647058823529413)
Archimede Morleo,Bologna,2011-2012,"defensive_5,passing_5,control_4,attack_2",0.6(0.13953488372093023),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.3(0.058823529411764705)
Andrea Raggi,Bologna,2011-2012,"defensive_3,passing_2,control_1,attack_2",0.0(0.0),0.3(0.06976744186046512),0.1(0.02777777777777778),0.0(0.0),0.1(0.019607843137254905)
Panagiotis Kone,Bologna,2011-2012,"defensive_5,passing_5,control_0,attack_1",1.0(0.23255813953488372),0.7(0.1627906976744186),0.4(0.11111111111111112),0.2(0.25),1.3(0.25490196078431376)
Federico Agliardi,Bologna,2011-2012,"defensive_1,passing_2,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Diego Pérez,Bologna,2011-2012,"defensive_5,passing_2,control_3,attack_2",0.4(0.0930232558139535),0.0(0.0),0.0(0.0),0.0(0.0),0.3(0.058823529411764705)
Gaby Mudingayi,Bologna,2011-2012,"defensive_5,passing_2,control_3,attack_1",0.7(0.1627906976744186),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.5(0.09803921568627452)
Gastón Ramírez,Bologna,2011-2012,"defensive_5,passing_0,control_0,attack_4",1.4(0.3255813953488372),0.9(0.20930232558139536),0.2(0.05555555555555556),0.2(0.25),1.2(0.23529411764705882)
Jean-François Gillet,Bologna,2011-2012,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
György Garics,Bologna,2011-2012,"defensive_2,passing_5,control_1,attack_2",0.1(0.023255813953488375),0.5(0.11627906976744186),0.0(0.0),0.0(0.0),0.5(0.09803921568627452)
Robert Acquafresca,Bologna,2011-2012,"defensive_1,passing_5,control_4,attack_5",0.9(0.20930232558139536),1.4(0.3255813953488372),0.3(0.08333333333333333),0.3(0.37499999999999994),1.5(0.29411764705882354)
Nicolò Cherubin,Bologna,2011-2012,"defensive_3,passing_2,control_1,attack_2",0.0(0.0),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.0(0.0)
Alessandro Diamanti,Bologna,2011-2012,"defensive_1,passing_4,control_0,attack_4",2.9(0.6744186046511628),1.0(0.23255813953488372),0.0(0.0),0.2(0.25),2.3(0.45098039215686275)
Marco Di Vaio,Bologna,2011-2012,"defensive_1,passing_5,control_4,attack_0",0.5(0.11627906976744186),1.8(0.4186046511627907),0.3(0.08333333333333333),0.4(0.5),1.5(0.29411764705882354)
Matteo Rubin,Bologna,2011-2012,"defensive_5,passing_5,control_3,attack_1",0.8(0.186046511627907),0.5(0.11627906976744186),0.1(0.02777777777777778),0.0(0.0),0.9(0.17647058823529413)
Mikael Antonsson,Bologna,2011-2012,"defensive_3,passing_2,control_1,attack_2",0.0(0.0),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.0(0.0)
Daniele Portanova,Bologna,2011-2012,"defensive_3,passing_2,control_1,attack_3",0.0(0.0),0.3(0.06976744186046512),0.3(0.08333333333333333),0.0(0.0),0.1(0.019607843137254905)
Saphir Taïder,Bologna,2011-2012,"defensive_5,passing_2,control_3,attack_1",0.4(0.0930232558139535),0.4(0.0930232558139535),0.1(0.02777777777777778),0.2(0.25),0.4(0.07843137254901962)
Andrea Esposito,Bologna,2010-2011,"defensive_5,passing_2,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Francesco Della Rocca,Bologna,2010-2011,"defensive_5,passing_3,control_4,attack_1",0.7(0.1627906976744186),0.2(0.04651162790697675),0.1(0.02777777777777778),0.1(0.125),0.7(0.13725490196078433)
Emiliano Viviano,Bologna,2010-2011,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Marco Di Vaio,Bologna,2010-2011,"defensive_1,passing_5,control_0,attack_0",1.4(0.3255813953488372),1.8(0.4186046511627907),0.4(0.11111111111111112),0.3(0.37499999999999994),2.1(0.411764705882353)
Gaby Mudingayi,Bologna,2010-2011,"defensive_5,passing_2,control_4,attack_1",0.8(0.186046511627907),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.6(0.11764705882352941)
Gastón Ramírez,Bologna,2010-2011,"defensive_1,passing_5,control_0,attack_4",1.5(0.3488372093023256),0.8(0.186046511627907),0.2(0.05555555555555556),0.1(0.125),1.4(0.27450980392156865)
Riccardo Meggiorini,Bologna,2010-2011,"defensive_5,passing_0,control_0,attack_5",1.1(0.2558139534883721),1.4(0.3255813953488372),0.5(0.1388888888888889),0.1(0.125),1.9(0.37254901960784315)
György Garics,Bologna,2010-2011,"defensive_2,passing_5,control_4,attack_2",0.1(0.023255813953488375),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.1(0.019607843137254905)
Nicolò Cherubin,Bologna,2010-2011,"defensive_2,passing_2,control_3,attack_2",0.0(0.0),0.2(0.04651162790697675),0.1(0.02777777777777778),0.0(0.0),0.0(0.0)
Federico Casarini,Bologna,2010-2011,"defensive_5,passing_5,control_4,attack_1",0.6(0.13953488372093023),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.7(0.13725490196078433)
Vangelis Moras,Bologna,2010-2011,"defensive_3,passing_2,control_1,attack_2",0.1(0.023255813953488375),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.0(0.0)
Miguel Britos,Bologna,2010-2011,"defensive_3,passing_2,control_2,attack_3",0.0(0.0),0.4(0.0930232558139535),0.3(0.08333333333333333),0.0(0.0),0.0(0.0)
Diego Pérez,Bologna,2010-2011,"defensive_5,passing_3,control_3,attack_2",0.6(0.13953488372093023),0.0(0.0),0.0(0.0),0.0(0.0),0.5(0.09803921568627452)
Henry Giménez,Bologna,2010-2011,"defensive_1,passing_5,control_0,attack_5",0.6(0.13953488372093023),1.9(0.4418604651162791),0.4(0.11111111111111112),0.2(0.25),2.0(0.3921568627450981)
Matteo Rubin,Bologna,2010-2011,"defensive_5,passing_5,control_4,attack_2",0.6(0.13953488372093023),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.5(0.09803921568627452)
Antonio Buscé,Bologna,2010-2011,"defensive_1,passing_4,control_2,attack_2",0.2(0.04651162790697675),0.3(0.06976744186046512),0.2(0.05555555555555556),0.0(0.0),0.4(0.07843137254901962)
Albin Ekdal,Bologna,2010-2011,"defensive_5,passing_5,control_0,attack_1",0.3(0.06976744186046512),0.6(0.13953488372093023),0.0(0.0),0.0(0.0),0.8(0.15686274509803924)
Daniele Portanova,Bologna,2010-2011,"defensive_3,passing_2,control_1,attack_3",0.0(0.0),0.5(0.11627906976744186),0.5(0.1388888888888889),0.0(0.0),0.1(0.019607843137254905)
Marco Motta,Bologna,2012-2013,"defensive_5,passing_5,control_1,attack_1",0.4(0.0930232558139535),0.5(0.11627906976744186),0.1(0.02777777777777778),0.0(0.0),0.8(0.15686274509803924)
Alberto Gilardino,Bologna,2012-2013,"defensive_1,passing_5,control_5,attack_5",0.2(0.04651162790697675),1.4(0.3255813953488372),0.6(0.16666666666666666),0.1(0.125),1.5(0.29411764705882354)
Archimede Morleo,Bologna,2012-2013,"defensive_5,passing_5,control_3,attack_2",0.6(0.13953488372093023),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.4(0.07843137254901962)
Panagiotis Kone,Bologna,2012-2013,"defensive_5,passing_5,control_4,attack_5",1.1(0.2558139534883721),1.1(0.2558139534883721),0.4(0.11111111111111112),0.2(0.25),1.6(0.3137254901960785)
Michele Pazienza,Bologna,2012-2013,"defensive_5,passing_3,control_1,attack_2",0.5(0.11627906976744186),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.5(0.09803921568627452)
Federico Agliardi,Bologna,2012-2013,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Manolo Gabbiadini,Bologna,2012-2013,"defensive_1,passing_5,control_4,attack_5",1.0(0.23255813953488372),1.3(0.3023255813953489),0.4(0.11111111111111112),0.1(0.125),2.0(0.3921568627450981)
Rene Krhin,Bologna,2012-2013,"defensive_3,passing_5,control_2,attack_3",0.1(0.023255813953488375),0.4(0.0930232558139535),0.3(0.08333333333333333),0.0(0.0),0.1(0.019607843137254905)
György Garics,Bologna,2012-2013,"defensive_2,passing_4,control_1,attack_2",0.3(0.06976744186046512),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.3(0.058823529411764705)
Nicolò Cherubin,Bologna,2012-2013,"defensive_3,passing_2,control_2,attack_2",0.0(0.0),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.0(0.0)
Alessandro Diamanti,Bologna,2012-2013,"defensive_1,passing_4,control_0,attack_4",3.3(0.7674418604651163),0.7(0.1627906976744186),0.1(0.02777777777777778),0.2(0.25),2.1(0.411764705882353)
Gianluca Curci,Bologna,2012-2013,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Diego Pérez,Bologna,2012-2013,"defensive_5,passing_3,control_3,attack_2",0.5(0.11627906976744186),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.5(0.09803921568627452)
Mikael Antonsson,Bologna,2012-2013,"defensive_3,passing_2,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Saphir Taïder,Bologna,2012-2013,"defensive_5,passing_3,control_3,attack_1",1.1(0.2558139534883721),0.5(0.11627906976744186),0.1(0.02777777777777778),0.0(0.0),1.3(0.25490196078431376)
Tiberio Guarente,Bologna,2012-2013,"defensive_5,passing_3,control_4,attack_1",1.6(0.372093023255814),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),1.4(0.27450980392156865)
Frederik Sörensen,Bologna,2012-2013,"defensive_3,passing_2,control_2,attack_2",0.1(0.023255813953488375),0.1(0.023255813953488375),0.1(0.02777777777777778),0.0(0.0),0.1(0.019607843137254905)
Cristiano Doni,Atalanta,2009-2010,"defensive_1,passing_0,control_3,attack_4",1.5(0.3488372093023256),1.6(0.372093023255814),0.8(0.22222222222222224),0.0(0.0),2.0(0.3921568627450981)
Federico Peluso,Atalanta,2009-2010,"defensive_3,passing_2,control_3,attack_2",0.1(0.023255813953488375),0.2(0.04651162790697675),0.1(0.02777777777777778),0.0(0.0),0.2(0.03921568627450981)
Simone Padoin,Atalanta,2009-2010,"defensive_5,passing_5,control_3,attack_1",0.7(0.1627906976744186),0.3(0.06976744186046512),0.0(0.0),0.0(0.0),0.9(0.17647058823529413)
Daniele Capelli,Atalanta,2009-2010,"defensive_2,passing_5,control_1,attack_2",0.0(0.0),0.2(0.04651162790697675),0.2(0.05555555555555556),0.0(0.0),0.0(0.0)
Ferreira Pinto,Atalanta,2009-2010,"defensive_5,passing_0,control_1,attack_5",0.5(0.11627906976744186),1.2(0.27906976744186046),0.4(0.11111111111111112),0.1(0.125),1.7(0.33333333333333337)
Leonardo Talamonti,Atalanta,2009-2010,"defensive_3,passing_2,control_2,attack_2",0.0(0.0),0.3(0.06976744186046512),0.1(0.02777777777777778),0.0(0.0),0.1(0.019607843137254905)
Andrea Consigli,Atalanta,2009-2010,"defensive_1,passing_1,control_1,attack_2",0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0),0.0(0.0)
Diego De Ascentis,Atalanta,2009-2010,"defensive_5,passing_3,control_1,attack_2",0.5(0.11627906976744186),0.0(0.0),0.0(0.0),0.0(0.0),0.4(0.07843137254901962)
Fabio Ceravolo,Atalanta,2009-2010,"defensive_1,passing_0,control_3,attack_1",0.7(0.1627906976744186),0.9(0.20930232558139536),0.2(0.05555555555555556),0.0(0.0),1.6(0.3137254901960785)
Thomas Manfredini,Atalanta,2009-2010,"defensive_3,passing_3,control_2,attack_2",0.3(0.06976744186046512),0.3(0.06976744186046512),0.2(0.05555555555555556),0.0(0.0),0.1(0.019607843137254905)
György Garics,Atalanta,2009-2010,"defensive_2,passing_5,control_1,attack_2",0.4(0.0930232558139535),0.2(0.04651162790697675),0.0(0.0),0.0(0.0),0.4(0.07843137254901962)
Robert Acquafresca,Atalanta,2009-2010,"defensive_1,passing_5,control_2,attack_5",0.6(0.13953488372093023),1.5(0.3488372093023256),0.7(0.19444444444444442),0.1(0.125),1.8(0.35294117647058826)
Nicola Amoruso,Atalanta,2009-2010,"defensive_1,passing_0,control_3,attack_3",0.3(0.06976744186046512),0.9(0.20930232558139536),0.6(0.16666666666666666),0.0(0.0),1.0(0.19607843137254904)
Paolo Bianco,Atalanta,2009-2010,"defensive_3,passing_2,control_1,attack_3",0.0(0.0),0.3(0.06976744186046512),0.3(0.08333333333333333),0.0(0.0),0.0(0.0)
Gianpaolo Bellini,Atalanta,2009-2010,"defensive_2,passing_5,control_1,attack_2",0.2(0.04651162790697675),0.1(0.023255813953488375),0.0(0.0),0.0(0.0),0.2(0.03921568627450981)
Simone Tiribocchi,Atalanta,2009-2010,"defensive_1,passing_5,control_3,attack_0",0.9(0.20930232558139536),2.0(0.46511627906976744),0.3(0.08333333333333333),0.2(0.25),2.6(0.5098039215686275)
